Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-04 15:20:00+00:00,151.37,151.38,150.84,150.8799,1026406,9476,151.085974
2021-11-04 15:25:00+00:00,150.88,151.16,150.88,151.11,780610,7667,151.050167
2021-11-04 15:30:00+00:00,151.1111,151.25,151.07,151.18,692010,6200,151.161603
2021-11-04 15:35:00+00:00,151.19,151.2699,151.025,151.11,867991,4793,151.113513
2021-11-04 15:40:00+00:00,151.115,151.21,151.02,151.19,420648,4279,151.10411
2021-11-04 15:45:00+00:00,151.19,151.4,151.1701,151.33,697521,4861,151.247852
2021-11-04 15:50:00+00:00,151.33,151.38,151.19,151.36,601454,5479,151.291521
2021-11-04 15:55:00+00:00,151.365,151.43,151.3268,151.37,491953,4316,151.382044
2021-11-04 16:00:00+00:00,151.37,151.46,151.29,151.325,356519,4039,151.378508
2021-11-04 16:05:00+00:00,151.33,151.455,151.32,151.4503,361793,3778,151.405745
2021-11-04 16:10:00+00:00,151.4525,151.585,151.43,151.575,477722,4303,151.499537
2021-11-04 16:15:00+00:00,151.57,151.67,151.53,151.6301,412134,3811,151.59955
2021-11-04 16:20:00+00:00,151.64,151.6454,151.38,151.4399,654333,4572,151.356601
2021-11-04 16:25:00+00:00,151.43,151.43,151.22,151.32,412116,3938,151.342003
2021-11-04 16:30:00+00:00,151.315,151.325,151.21,151.26,308522,3457,151.268616
2021-11-04 16:35:00+00:00,151.255,151.42,151.24,151.407,358435,3459,151.343026
2021-11-04 16:40:00+00:00,151.405,151.405,151.25,151.3,317304,3613,151.293534
2021-11-04 16:45:00+00:00,151.29,151.3399,151.19,151.3,345244,3610,151.266751
2021-11-04 16:50:00+00:00,151.29,151.33,151.145,151.2282,309108,3220,151.230282
2021-11-04 16:55:00+00:00,151.2275,151.29,151.18,151.22,274367,2962,151.230101
2021-11-04 17:00:00+00:00,151.221,151.221,151.06,151.115,478335,4674,151.14007
2021-11-04 17:05:00+00:00,151.11,151.18,151.035,151.16,392544,3917,151.112334
2021-11-04 17:10:00+00:00,151.1677,151.24,151.07,151.23,671584,3627,151.153428
2021-11-04 17:15:00+00:00,151.2317,151.2317,151.04,151.105,404958,4044,151.123279
2021-11-04 17:20:00+00:00,151.105,151.26,151.02,151.26,548225,3975,151.123767
2021-11-04 17:25:00+00:00,151.265,151.27,151.175,151.22,350274,3564,151.224584
2021-11-04 17:30:00+00:00,151.21,151.325,151.18,151.25,442121,3794,151.270482
2021-11-04 17:35:00+00:00,151.2576,151.3788,151.17,151.3465,328221,3222,151.281296
2021-11-04 17:40:00+00:00,151.3499,151.46,151.3201,151.45,390496,3700,151.393726
